"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.616936708E0,-1.633635309E-2,1.874708701E-3,2.056641161E-2,2.633188659E-2
2.626869708E0,-2.461513337E-2,-2.094043242E-3,1.803924501E-2,3.058928192E-2
2.636802708E0,-2.334771283E-2,1.925698249E-3,9.823907018E-3,2.540340838E-2
2.646735708E0,-1.695953837E-2,-7.611795701E-3,2.301464081E-2,2.958443961E-2
2.656664291E0,-1.357157025E-2,3.950881390E-3,2.617506087E-2,2.974778638E-2
2.666597292E0,-1.107811650E-2,2.825255832E-3,1.287089109E-2,1.721530056E-2
2.676531292E0,-2.017260164E-2,-1.033952180E-3,1.498232067E-2,2.514901284E-2
2.686464292E0,-2.215816990E-2,2.494705422E-3,2.720709443E-3,2.246353285E-2
2.696397291E0,-2.205566090E-2,2.692176858E-3,1.844796538E-2,2.887953290E-2
2.706330291E0,-1.929276014E-2,4.355380805E-3,1.801176310E-2,2.675076719E-2
2.716263291E0,-1.426733410E-2,3.430195972E-3,1.457886279E-2,2.068492946E-2
2.726196292E0,-2.276366735E-2,8.214588817E-3,2.117335260E-2,3.215547980E-2
2.736129292E0,-1.865839206E-2,4.036168512E-3,2.357246518E-2,3.033294191E-2
2.746062292E0,-2.200352931E-2,4.976921557E-3,1.758374691E-2,2.860267830E-2
2.755995292E0,-2.135704653E-2,2.862668876E-3,1.413973689E-2,2.577305704E-2
2.765928292E0,-2.028746288E-2,-4.238674035E-3,1.488701105E-2,2.551804471E-2
2.775861292E0,-1.547175089E-2,3.620595932E-3,1.188797414E-2,1.984458918E-2
2.785794292E0,-1.388225840E-2,1.098161917E-3,9.782976508E-3,1.701851014E-2
2.795727292E0,-1.269786833E-2,3.301520683E-3,1.486537635E-2,1.982713577E-2
2.805660292E0,-1.265028661E-2,1.283609102E-2,1.769952178E-2,2.526000901E-2
2.815594292E0,-1.548435895E-2,7.882850692E-3,1.364681661E-2,2.209389759E-2
2.825527292E0,-1.855908075E-2,3.395998897E-3,1.632601082E-2,2.495016866E-2
2.835460292E0,-1.952229990E-2,1.516060593E-2,5.085908175E-3,2.523550331E-2
2.845393292E0,-2.489642099E-2,2.077716719E-3,1.420347154E-2,2.873825479E-2
2.855326292E0,-2.569493137E-2,6.813477175E-3,1.508698583E-2,3.056583241E-2
2.865259292E0,-9.695487544E-3,4.692929601E-3,9.832093120E-3,1.458410512E-2
2.875192292E0,-1.670597021E-2,8.355853893E-3,1.490396798E-2,2.389640132E-2
2.885125292E0,-1.858855437E-2,4.644141896E-3,1.773460507E-2,2.610782689E-2
2.895058291E0,-2.088196026E-2,3.260864262E-3,1.727209032E-2,2.729495565E-2
2.904991291E0,-1.424135054E-2,5.771037396E-3,1.710953772E-2,2.299689585E-2
2.914924291E0,-1.165666195E-2,2.158755474E-3,2.503193021E-2,2.769721146E-2
