"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.601623042E0,-1.252043274E-2,5.888708043E-3,3.427579343E-2,3.696306446E-2
1.611557042E0,-1.526430493E-2,1.607454401E-3,3.232574701E-2,3.578458934E-2
1.621490042E0,-1.333185497E-2,-4.715998694E-3,4.175379753E-2,4.408354125E-2
1.631423042E0,-1.896837100E-2,3.533906392E-3,4.624212027E-2,5.010610022E-2
1.641357042E0,-1.448853929E-2,1.614315743E-3,4.758697987E-2,4.976991500E-2
1.651290042E0,-9.602592189E-3,2.668271796E-3,3.366475940E-2,3.510905120E-2
1.661223042E0,-1.250492163E-2,1.868925439E-3,3.620771348E-2,3.835185084E-2
1.671157042E0,-1.725700975E-2,4.155058851E-3,5.042697251E-2,5.345978354E-2
1.681090042E0,-1.742203143E-2,5.205803504E-4,5.027728379E-2,5.321281282E-2
1.691023041E0,-1.181008284E-2,2.316927225E-3,4.354129136E-2,4.517399984E-2
1.700957042E0,-1.586743951E-2,-5.997849978E-3,5.042755723E-2,5.320421383E-2
1.710890042E0,-1.623025810E-2,-1.081013130E-3,3.875242174E-2,4.202784860E-2
1.720824042E0,-1.997754675E-2,3.630545335E-3,4.114802599E-2,4.588510953E-2
1.730757042E0,-1.299149449E-2,1.058331872E-2,3.411441028E-2,3.800761178E-2
1.740690042E0,-1.649572626E-2,4.871826991E-4,4.249931753E-2,4.559098948E-2
1.750624042E0,-1.181353406E-2,9.699516641E-3,2.573593497E-2,2.993290095E-2
1.760557042E0,-1.004568780E-2,-1.451831670E-3,2.319356561E-2,2.531728943E-2
1.770490042E0,-1.342031238E-2,-1.376521359E-3,3.846415401E-2,4.076138784E-2
1.780424042E0,-9.992124103E-3,5.718417023E-3,2.813855588E-2,3.040265062E-2
1.790357042E0,-3.866820813E-3,7.879397180E-3,2.574645996E-2,2.720142282E-2
1.800290042E0,-9.891906024E-3,3.595612790E-3,2.679778934E-2,2.879061912E-2
1.810224042E0,-5.832478842E-3,8.017861987E-3,2.680071294E-2,2.857590129E-2
1.820157042E0,-1.946593822E-2,7.781173093E-3,2.590667367E-2,3.332604306E-2
1.830090042E0,-1.408144518E-2,4.367988864E-3,1.932387829E-2,2.430593954E-2
1.840024042E0,-4.213501315E-3,2.487094905E-3,1.438765883E-2,1.519684050E-2
1.849957042E0,-8.712186869E-3,5.570171834E-3,1.244404435E-2,1.617971737E-2
1.859890042E0,-5.919805637E-3,-2.854185845E-3,7.207278013E-3,9.753734258E-3
1.869824042E0,-1.171115069E-2,1.020444199E-3,8.257437944E-3,1.436584972E-2
1.879757042E0,-4.288023622E-3,3.739125389E-3,1.544308126E-2,1.645773265E-2
1.889691042E0,-2.640794450E-4,7.646682565E-3,7.510163784E-3,1.072119640E-2
1.899624042E0,-8.681045878E-3,6.052845782E-3,1.349771261E-2,1.715184379E-2
1.909557042E0,-9.458485732E-3,1.930485656E-3,9.456117153E-3,1.351324827E-2
1.919491042E0,-8.219561235E-3,1.144334364E-2,3.766191602E-3,1.458408378E-2
1.929424042E0,-1.756261471E-3,4.884508140E-3,1.154825091E-2,1.266116003E-2
1.939357042E0,-5.044322137E-3,4.621346891E-3,1.019812882E-2,1.228022249E-2
1.949291042E0,-4.599860657E-3,3.240595437E-3,1.453676283E-2,1.558774039E-2
1.959224042E0,-1.090554827E-2,3.457225640E-3,1.303636730E-2,1.734445919E-2
1.969157042E0,-9.508627891E-3,-8.456558478E-3,1.902099252E-2,2.288505062E-2
1.979091042E0,-1.329816039E-2,-3.628425719E-4,2.111429572E-2,2.495568489E-2
1.989024042E0,-5.985550268E-3,2.203632854E-3,2.994183719E-2,3.061366401E-2
1.998957042E0,-9.174907194E-3,-6.433490384E-4,1.706568360E-2,1.938634511E-2
2.008891042E0,-8.987862531E-3,6.381957228E-3,1.646400511E-2,1.981349326E-2
2.018824042E0,-7.879970481E-3,4.238043632E-4,3.352734983E-2,3.444352960E-2
2.028758042E0,-4.171156967E-3,3.867887473E-4,3.157905757E-2,3.185569075E-2
2.038691042E0,-1.497365719E-2,-2.709572325E-3,3.771454096E-2,4.066864630E-2
2.048624041E0,-6.404763653E-3,1.564098210E-3,3.501838982E-2,3.563362213E-2
