"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.386015833E0,2.930569667E-3,2.509698048E-3,3.601884842E-2,3.622491221E-2
2.395947834E0,-4.355974663E-3,4.036022332E-3,2.883963704E-2,2.944467110E-2
2.405880834E0,-3.293206673E-3,-1.105690207E-3,3.708421111E-2,3.724656326E-2
2.415812834E0,2.027138304E-3,-3.574366383E-3,2.916708112E-2,2.945511850E-2
2.425745834E0,-1.154313460E-3,-6.375712585E-3,3.083353758E-2,3.150697050E-2
2.435678834E0,6.122400239E-4,9.333069809E-4,2.891214252E-2,2.893368080E-2
2.445610833E0,3.558944352E-3,-3.117589206E-3,2.864258587E-2,2.903072808E-2
2.455543833E0,3.250704724E-3,-1.079611626E-2,2.643116891E-2,2.873551631E-2
2.465475834E0,-1.429644227E-4,-1.847409513E-3,1.569158792E-2,1.580061051E-2
2.475408833E0,-4.408087973E-3,-4.725080151E-3,2.336488903E-2,2.424202263E-2
2.485340834E0,-1.363972686E-3,-4.865943231E-3,3.163928390E-2,3.204032007E-2
2.495273834E0,-2.173008062E-3,-1.140464695E-2,1.626286089E-2,1.998170615E-2
2.505205833E0,-7.965515703E-3,4.568612315E-3,1.959928215E-2,2.164378709E-2
2.515138833E0,1.198551301E-3,-3.399443273E-3,2.233928740E-2,2.262822356E-2
2.525070834E0,2.643233836E-3,-9.408973977E-3,1.430112004E-2,1.732159089E-2
2.535003833E0,-6.618134491E-4,1.886311769E-3,5.213962197E-3,5.584046107E-3
2.544936833E0,-1.016648076E-3,7.144548353E-3,1.797901869E-2,1.937326141E-2
2.554868834E0,4.533017389E-3,2.578804828E-4,2.730006516E-2,2.767504845E-2
2.564801834E0,7.143652998E-4,4.093105774E-3,1.087465167E-2,1.164138658E-2
2.574733833E0,-3.564243391E-3,-2.447955105E-3,8.511791825E-3,9.547089359E-3
2.584666834E0,-2.647527885E-3,9.083137885E-3,1.707620859E-2,1.952203108E-2
2.594598833E0,-5.619430058E-3,7.532255296E-3,1.006773591E-2,1.377215199E-2
2.604531833E0,1.606559046E-3,4.511126876E-3,8.741002679E-3,9.966766050E-3
2.614463834E0,-4.637883548E-3,5.766432714E-3,1.429527283E-2,1.609709711E-2
2.624396834E0,-3.741176482E-3,1.248804465E-2,6.072333455E-3,1.438126887E-2
2.634329834E0,-2.762206402E-3,7.094572932E-3,1.286972165E-3,7.721337102E-3
2.644261834E0,1.334645245E-3,3.557738364E-3,4.878916740E-3,6.184060863E-3
2.654194834E0,1.377987731E-3,9.784858581E-3,8.014778495E-3,1.272316714E-2
2.664126833E0,6.869382039E-4,3.047897704E-3,1.488876522E-2,1.521305013E-2
2.674059833E0,-3.947601467E-3,8.546893392E-3,1.352285564E-2,1.647727431E-2
2.683991834E0,4.994015526E-3,9.814240839E-3,1.020865381E-2,1.501586251E-2
2.693924834E0,6.177766062E-4,-1.340711731E-3,1.392280519E-2,1.400084498E-2
2.703856834E0,-4.135863539E-3,5.659739301E-3,1.928236306E-2,2.051700615E-2
2.713790625E0,5.396176055E-3,8.405555226E-3,1.266506910E-2,1.612997365E-2
2.723723625E0,-6.293193754E-3,1.113812355E-2,8.737494349E-3,1.549212353E-2
2.733655625E0,-4.706277698E-3,1.168845618E-2,3.760929108E-3,1.314966332E-2
2.743588625E0,3.249443918E-3,-2.723157965E-4,1.584887803E-2,1.618085215E-2
2.753520625E0,-8.974927850E-3,-1.932724044E-3,2.973659992E-2,3.112153799E-2
2.763453625E0,-2.543209903E-3,2.228209432E-3,1.892334402E-2,1.922305342E-2
2.773385625E0,-8.234889619E-3,-7.789587602E-5,2.173527002E-2,2.324309441E-2
2.783318625E0,-4.230551887E-3,1.631190442E-3,2.110435545E-2,2.158592529E-2
2.793250625E0,-2.011460457E-3,1.144775189E-4,1.568047822E-2,1.580937935E-2
2.803183625E0,-3.161059599E-3,8.091066387E-3,2.089034736E-2,2.262441747E-2
2.813116625E0,-1.190708723E-2,1.889747009E-4,2.355960131E-2,2.639828122E-2
2.823048625E0,-5.952830985E-4,4.455578327E-3,2.368297756E-2,2.410580773E-2
2.832981625E0,1.527219638E-4,2.205423564E-3,1.932153940E-2,1.944759887E-2
2.842913625E0,-3.292548861E-3,3.814760037E-3,2.514068842E-2,2.564073880E-2
2.852846625E0,-2.319133636E-3,7.838009857E-4,2.003899276E-2,2.018796562E-2
2.862778625E0,-5.081413127E-4,-2.382722106E-3,3.230294287E-2,3.239468614E-2
2.872711625E0,-2.585638762E-3,-7.347793914E-3,2.810931981E-2,2.916863835E-2
2.882643625E0,-4.960083403E-4,-4.618752189E-4,3.080079317E-2,3.080824911E-2
2.892576625E0,-1.045865882E-3,-1.291905753E-3,1.822927952E-2,1.830490338E-2
2.902509625E0,-1.428401694E-3,-3.973183036E-4,1.658679664E-2,1.665292815E-2
2.912441625E0,2.831514180E-4,1.267586818E-2,2.422676861E-2,2.734399616E-2
2.922374625E0,-3.185215909E-3,4.429850578E-3,2.319298089E-2,2.382611044E-2
2.932306625E0,1.224808954E-4,2.839005925E-4,1.767087042E-2,1.767357526E-2
2.942239625E0,-3.162430041E-4,-6.982854567E-4,1.918646872E-2,1.920177581E-2
2.952171625E0,3.080696929E-3,5.606657546E-3,2.908522010E-2,2.978045216E-2
2.962104625E0,-9.883621708E-4,-2.648240514E-4,1.862981379E-2,1.865789252E-2
